sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
PHLON20-SARS00427_S14_L001,5.18,94.82,12028,461978,PHLON20-SARS00427_S14_L001.primertrimmed.consensus.fa,PHLON20-SARS00427_S14_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00418_S5_L001,1.93,98.07,24689,587048,PHLON20-SARS00418_S5_L001.primertrimmed.consensus.fa,PHLON20-SARS00418_S5_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00429_S16_L001,0.35,99.65,29799,284141,PHLON20-SARS00429_S16_L001.primertrimmed.consensus.fa,PHLON20-SARS00429_S16_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00461_S48_L001,0.30,99.70,29813,525139,PHLON20-SARS00461_S48_L001.primertrimmed.consensus.fa,PHLON20-SARS00461_S48_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00428_S15_L001,1.26,98.74,24807,452509,PHLON20-SARS00428_S15_L001.primertrimmed.consensus.fa,PHLON20-SARS00428_S15_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00481_S68_L001,0.35,99.65,29799,711128,PHLON20-SARS00481_S68_L001.primertrimmed.consensus.fa,PHLON20-SARS00481_S68_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00425_S12_L001,0.59,99.41,27555,815619,PHLON20-SARS00425_S12_L001.primertrimmed.consensus.fa,PHLON20-SARS00425_S12_L001.mapped.primertrimmed.sorted.bam,TRUE
Undetermined_S0_L001,0.13,99.87,29829,838543,Undetermined_S0_L001.primertrimmed.consensus.fa,Undetermined_S0_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00426_S13_L001,3.33,96.67,12042,659494,PHLON20-SARS00426_S13_L001.primertrimmed.consensus.fa,PHLON20-SARS00426_S13_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00443_S30_L001,0.26,99.74,29826,559181,PHLON20-SARS00443_S30_L001.primertrimmed.consensus.fa,PHLON20-SARS00443_S30_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00436_S23_L001,7.88,92.12,10808,438852,PHLON20-SARS00436_S23_L001.primertrimmed.consensus.fa,PHLON20-SARS00436_S23_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00432_S19_L001,11.24,88.76,4573,433946,PHLON20-SARS00432_S19_L001.primertrimmed.consensus.fa,PHLON20-SARS00432_S19_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00484_S71_L001,0.36,99.64,29796,681087,PHLON20-SARS00484_S71_L001.primertrimmed.consensus.fa,PHLON20-SARS00484_S71_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00416_S3_L001,8.07,91.92,6626,578534,PHLON20-SARS00416_S3_L001.primertrimmed.consensus.fa,PHLON20-SARS00416_S3_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00449_S36_L001,0.24,99.76,29833,624025,PHLON20-SARS00449_S36_L001.primertrimmed.consensus.fa,PHLON20-SARS00449_S36_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00446_S33_L001,0.36,99.61,25520,779088,PHLON20-SARS00446_S33_L001.primertrimmed.consensus.fa,PHLON20-SARS00446_S33_L001.mapped.primertrimmed.sorted.bam,TRUE
Neg2-20200604-run-12_S88_L001,100.00,0.00,1,391,Neg2-20200604-run-12_S88_L001.primertrimmed.consensus.fa,Neg2-20200604-run-12_S88_L001.mapped.primertrimmed.sorted.bam,FALSE
Neg1-20200604-run-12_S87_L001,94.91,5.08,385,250578,Neg1-20200604-run-12_S87_L001.primertrimmed.consensus.fa,Neg1-20200604-run-12_S87_L001.mapped.primertrimmed.sorted.bam,FALSE
PHLON20-SARS00470_S57_L001,34.94,65.11,2204,48167,PHLON20-SARS00470_S57_L001.primertrimmed.consensus.fa,PHLON20-SARS00470_S57_L001.mapped.primertrimmed.sorted.bam,FALSE
NTC-20200604-run-12_S86_L001,98.95,1.05,85,21344,NTC-20200604-run-12_S86_L001.primertrimmed.consensus.fa,NTC-20200604-run-12_S86_L001.mapped.primertrimmed.sorted.bam,FALSE
PHLON20-SARS00471_S58_L001,16.32,83.69,3399,192106,PHLON20-SARS00471_S58_L001.primertrimmed.consensus.fa,PHLON20-SARS00471_S58_L001.mapped.primertrimmed.sorted.bam,FALSE
PHLON20-SARS00498_S85_L001,23.85,76.22,2217,382984,PHLON20-SARS00498_S85_L001.primertrimmed.consensus.fa,PHLON20-SARS00498_S85_L001.mapped.primertrimmed.sorted.bam,FALSE
